#,,"generated_by='OpenQuake engine 3.10.1', start_date='2021-02-15T11:43:20', checksum=3598449318, investigation_time=50.0, imt='AvgSA', smlt_path='b1', gsimlt_path='b1_b31_b21_b71_b51_b41_b61', lon=12.38900000000001, lat=43.111, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[9.925214499106739, 12.38900000000001, 14.852785500893281], lat_bin_edges=[41.31236, 43.111, 44.909639999999996], eps_bin_edges=[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0], tectonic_region_types=['Active Shallow Crust', 'Shield', 'Stable Shallow Crust', 'Subduction Deep', 'Subduction Inslab', 'Subduction Interface', 'Volcanic'], poe=0.30046765304874357"
mag,dist,poe
4.75000E+00,5.00000E+00,1.40704E-04
4.75000E+00,1.50000E+01,3.21791E-04
4.75000E+00,2.50000E+01,0.00000E+00
4.75000E+00,3.50000E+01,0.00000E+00
4.75000E+00,4.50000E+01,0.00000E+00
4.75000E+00,5.50000E+01,0.00000E+00
4.75000E+00,6.50000E+01,0.00000E+00
4.75000E+00,7.50000E+01,0.00000E+00
4.75000E+00,8.50000E+01,0.00000E+00
4.75000E+00,9.50000E+01,0.00000E+00
4.75000E+00,1.05000E+02,0.00000E+00
4.75000E+00,1.15000E+02,0.00000E+00
4.75000E+00,1.25000E+02,0.00000E+00
4.75000E+00,1.35000E+02,0.00000E+00
4.75000E+00,1.45000E+02,0.00000E+00
4.75000E+00,1.55000E+02,0.00000E+00
4.75000E+00,1.65000E+02,0.00000E+00
4.75000E+00,1.75000E+02,0.00000E+00
4.75000E+00,1.85000E+02,0.00000E+00
4.75000E+00,1.95000E+02,0.00000E+00
5.25000E+00,5.00000E+00,1.03222E-02
5.25000E+00,1.50000E+01,1.07714E-02
5.25000E+00,2.50000E+01,8.39159E-04
5.25000E+00,3.50000E+01,7.70174E-05
5.25000E+00,4.50000E+01,0.00000E+00
5.25000E+00,5.50000E+01,0.00000E+00
5.25000E+00,6.50000E+01,0.00000E+00
5.25000E+00,7.50000E+01,0.00000E+00
5.25000E+00,8.50000E+01,0.00000E+00
5.25000E+00,9.50000E+01,0.00000E+00
5.25000E+00,1.05000E+02,0.00000E+00
5.25000E+00,1.15000E+02,0.00000E+00
5.25000E+00,1.25000E+02,0.00000E+00
5.25000E+00,1.35000E+02,0.00000E+00
5.25000E+00,1.45000E+02,0.00000E+00
5.25000E+00,1.55000E+02,0.00000E+00
5.25000E+00,1.65000E+02,0.00000E+00
5.25000E+00,1.75000E+02,0.00000E+00
5.25000E+00,1.85000E+02,0.00000E+00
5.25000E+00,1.95000E+02,0.00000E+00
5.75000E+00,5.00000E+00,2.58523E-02
5.75000E+00,1.50000E+01,1.66645E-02
5.75000E+00,2.50000E+01,7.66813E-03
5.75000E+00,3.50000E+01,2.28152E-03
5.75000E+00,4.50000E+01,8.56197E-04
5.75000E+00,5.50000E+01,1.92839E-04
5.75000E+00,6.50000E+01,7.37712E-05
5.75000E+00,7.50000E+01,2.55962E-06
5.75000E+00,8.50000E+01,0.00000E+00
5.75000E+00,9.50000E+01,0.00000E+00
5.75000E+00,1.05000E+02,0.00000E+00
5.75000E+00,1.15000E+02,0.00000E+00
5.75000E+00,1.25000E+02,0.00000E+00
5.75000E+00,1.35000E+02,0.00000E+00
5.75000E+00,1.45000E+02,0.00000E+00
5.75000E+00,1.55000E+02,0.00000E+00
5.75000E+00,1.65000E+02,0.00000E+00
5.75000E+00,1.75000E+02,0.00000E+00
5.75000E+00,1.85000E+02,0.00000E+00
5.75000E+00,1.95000E+02,0.00000E+00
6.25000E+00,5.00000E+00,3.61267E-02
6.25000E+00,1.50000E+01,3.60879E-02
6.25000E+00,2.50000E+01,2.73203E-02
6.25000E+00,3.50000E+01,1.21719E-02
6.25000E+00,4.50000E+01,7.45289E-03
6.25000E+00,5.50000E+01,4.52187E-03
6.25000E+00,6.50000E+01,2.89191E-03
6.25000E+00,7.50000E+01,1.59466E-03
6.25000E+00,8.50000E+01,1.02432E-03
6.25000E+00,9.50000E+01,5.18653E-04
6.25000E+00,1.05000E+02,2.67540E-04
6.25000E+00,1.15000E+02,1.51566E-04
6.25000E+00,1.25000E+02,6.81072E-05
6.25000E+00,1.35000E+02,3.33280E-05
6.25000E+00,1.45000E+02,1.64019E-05
6.25000E+00,1.55000E+02,1.94554E-06
6.25000E+00,1.65000E+02,0.00000E+00
6.25000E+00,1.75000E+02,0.00000E+00
6.25000E+00,1.85000E+02,0.00000E+00
6.25000E+00,1.95000E+02,0.00000E+00
6.75000E+00,5.00000E+00,1.58764E-02
6.75000E+00,1.50000E+01,1.90617E-02
6.75000E+00,2.50000E+01,1.37352E-02
6.75000E+00,3.50000E+01,1.03280E-02
6.75000E+00,4.50000E+01,6.92767E-03
6.75000E+00,5.50000E+01,5.39843E-03
6.75000E+00,6.50000E+01,3.63730E-03
6.75000E+00,7.50000E+01,2.66826E-03
6.75000E+00,8.50000E+01,1.92269E-03
6.75000E+00,9.50000E+01,1.29460E-03
6.75000E+00,1.05000E+02,8.70222E-04
6.75000E+00,1.15000E+02,5.76679E-04
6.75000E+00,1.25000E+02,3.28007E-04
6.75000E+00,1.35000E+02,2.26181E-04
6.75000E+00,1.45000E+02,1.40802E-04
6.75000E+00,1.55000E+02,8.26555E-05
6.75000E+00,1.65000E+02,4.45737E-05
6.75000E+00,1.75000E+02,2.79566E-05
6.75000E+00,1.85000E+02,1.16317E-05
6.75000E+00,1.95000E+02,4.87384E-06
7.25000E+00,5.00000E+00,1.38703E-02
7.25000E+00,1.50000E+01,1.12134E-02
7.25000E+00,2.50000E+01,7.78456E-03
7.25000E+00,3.50000E+01,5.73538E-03
7.25000E+00,4.50000E+01,4.78146E-03
