#,,,"generated_by='OpenQuake engine 3.10.1', start_date='2021-02-15T11:43:20', checksum=3598449318, investigation_time=50.0, imt='AvgSA', smlt_path='b1', gsimlt_path='b1_b31_b21_b71_b51_b41_b61', lon=12.38900000000001, lat=43.111, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[9.925214499106739, 12.38900000000001, 14.852785500893281], lat_bin_edges=[41.31236, 43.111, 44.909639999999996], eps_bin_edges=[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0], tectonic_region_types=['Active Shallow Crust', 'Shield', 'Stable Shallow Crust', 'Subduction Deep', 'Subduction Inslab', 'Subduction Interface', 'Volcanic'], poe=0.7013576546008496"
mag,lon,lat,poe
1.11571E+01,4.22117E+01,4.75000E+00,7.67606E-04
1.11571E+01,4.22117E+01,5.25000E+00,1.14230E-02
1.11571E+01,4.22117E+01,5.75000E+00,2.08376E-02
1.11571E+01,4.22117E+01,6.25000E+00,4.93648E-02
1.11571E+01,4.22117E+01,6.75000E+00,1.61555E-02
1.11571E+01,4.22117E+01,7.25000E+00,8.23358E-03
1.11571E+01,4.22117E+01,7.75000E+00,5.29676E-04
1.11571E+01,4.22117E+01,8.25000E+00,0.00000E+00
1.11571E+01,4.22117E+01,8.75000E+00,0.00000E+00
1.11571E+01,4.40103E+01,4.75000E+00,4.00271E-03
1.11571E+01,4.40103E+01,5.25000E+00,3.72923E-02
1.11571E+01,4.40103E+01,5.75000E+00,5.77814E-02
1.11571E+01,4.40103E+01,6.25000E+00,1.09571E-01
1.11571E+01,4.40103E+01,6.75000E+00,6.41750E-02
1.11571E+01,4.40103E+01,7.25000E+00,4.15705E-02
1.11571E+01,4.40103E+01,7.75000E+00,3.19057E-03
1.11571E+01,4.40103E+01,8.25000E+00,0.00000E+00
1.11571E+01,4.40103E+01,8.75000E+00,0.00000E+00
1.36209E+01,4.22117E+01,4.75000E+00,8.56018E-03
1.36209E+01,4.22117E+01,5.25000E+00,6.60227E-02
1.36209E+01,4.22117E+01,5.75000E+00,8.09507E-02
1.36209E+01,4.22117E+01,6.25000E+00,1.31474E-01
1.36209E+01,4.22117E+01,6.75000E+00,6.79578E-02
1.36209E+01,4.22117E+01,7.25000E+00,4.29794E-02
1.36209E+01,4.22117E+01,7.75000E+00,3.70131E-03
1.36209E+01,4.22117E+01,8.25000E+00,3.19321E-04
1.36209E+01,4.22117E+01,8.75000E+00,0.00000E+00
1.36209E+01,4.40103E+01,4.75000E+00,4.33699E-03
1.36209E+01,4.40103E+01,5.25000E+00,5.15355E-02
1.36209E+01,4.40103E+01,5.75000E+00,7.32969E-02
1.36209E+01,4.40103E+01,6.25000E+00,1.14957E-01
1.36209E+01,4.40103E+01,6.75000E+00,5.58824E-02
1.36209E+01,4.40103E+01,7.25000E+00,3.31931E-02
1.36209E+01,4.40103E+01,7.75000E+00,2.54471E-03
1.36209E+01,4.40103E+01,8.25000E+00,0.00000E+00
1.36209E+01,4.40103E+01,8.75000E+00,0.00000E+00
